Game,Developer(s),Publisher,Platform,Release date,Sales
Pokémon Red / Green / Blue / Yellow,Game Freak,Nintendo,Game Boy,1996-02-27,46020000
Tetris,Nintendo R&D1,Nintendo,Game Boy,1989-06-14,35000000
Pokémon Gold / Silver / Crystal,Game Freak,Nintendo,Game Boy Color,1999-11-21,29490000
Super Mario Land,Nintendo R&D1,Nintendo,Game Boy,1989-04-21,18140000
Super Mario Land 2: 6 Golden Coins,Nintendo R&D1,Nintendo,Game Boy,1992-10-21,11180000
Dr. Mario,Nintendo R&D1,Nintendo,Game Boy,1990-07-27,5340000
Pokémon Pinball,Jupiter,Nintendo,Game Boy Color,1999-04-14,5310000
Wario Land: Super Mario Land 3,Nintendo R&D1,Nintendo,Game Boy,1994-01-21,5190000
Kirby's Dream Land,HAL Laboratory,Nintendo,Game Boy,1992-04-27,5130000
Super Mario Bros. Deluxe,Nintendo EAD,Nintendo,Game Boy Color,1999-05-01,5070000
The Legend of Zelda: Oracle of Seasons and Oracle of Ages,Flagship,Nintendo,Game Boy Color,2001-02-27,3960000
Donkey Kong Land,Rare,Nintendo,Game Boy,1995-06-26,3910000
The Legend of Zelda: Link's Awakening,Nintendo EAD,Nintendo,Game Boy,1993-06-06,3830000
Pokémon Trading Card Game,Hudson Soft and Creatures Inc.,Nintendo,Game Boy Color,1998-12-18,3720000
F-1 Race,Nintendo R&D1,Nintendo,Game Boy,1990-11-09,3410000
Yoshi,Game Freak,Nintendo,Game Boy,1991-12-14,3120000
Donkey Kong,Nintendo EAD and Pax Softnica,Nintendo,Game Boy,1994-06-14,3070000
Tamagotchi (Game de Hakken!! Tamagotchi),Bandai,Bandai,Game Boy,1997-01-01,3000000
Yu-Gi-Oh! Duel Monsters 4: Battle of Great Duelists,Konami,Konami,Game Boy Color,2000-12-07,2500000
Yu-Gi-Oh! Dark Duel Stories,Konami,Konami,Game Boy Color,2000-07-13,2396518
Kirby's Dream Land 2,HAL Laboratory,Nintendo,Game Boy,1995-03-21,2360000
Donkey Kong Land 2,Rare,Nintendo,Game Boy,1996-09-23,2350000
Dragon Warrior Monsters,Tose,Enix,Game Boy Color,1998-09-25,2350000
The Legend of Zelda: Link's Awakening DX,Nintendo EAD,Nintendo,Game Boy Color,1998-12-12,2220000
Wario Land 3,Nintendo R&D1,Nintendo,Game Boy Color,2000-03-21,2200000
Kirby's Pinball Land,HAL Laboratory,Nintendo,Game Boy,1993-11-27,2190000
Donkey Kong Country,Rare,Nintendo,Game Boy Color,2000-11-04,2190000
Golf,Nintendo,Nintendo,Game Boy,1989-11-28,2120000
Tennis,Nintendo R&D1,Nintendo,Game Boy,1989-05-29,1990000
Alleyway,Nintendo R&D1 and Intelligent Systems,Nintendo,Game Boy,1989-04-21,1940000
Tetris DX,Nintendo R&D1,Nintendo,Game Boy Color,1998-10-21,1880000
Metroid II: Return of Samus,Nintendo R&D1,Nintendo,Game Boy,1991-11-01,1720000
Baseball,Nintendo R&D1,Nintendo,Game Boy,1989-04-21,1610000
Yu-Gi-Oh! Duel Monsters,Konami,Konami,Game Boy,1998-12-16,1610000
Dragon Warrior Monsters 2,Tose,Enix,Game Boy Color,2001-03-09,1570000
Yoshi's Cookie,Bullet-Proof Software,Nintendo,Game Boy,1992-11-21,1530000
Wario Land II,Nintendo R&D1,Nintendo,Game Boy,1998-03-01,1480000
Game de Hakken!! Tamagotchi 2,Bandai,Bandai,Game Boy,1997-01-01,1450000
Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,Konami,Konami,Game Boy Color,1999-07-08,1450000
DuckTales,Capcom,Capcom,Game Boy,1990-09-21,1430000
The Final Fantasy Legend,Square,Square,Game Boy,1989-12-15,1370000
Yakuman,Intelligent Systems,Nintendo,Game Boy,1989-04-21,1280000
Tetris 2,Nintendo R&D1 and Tose,Nintendo,Game Boy,1993-12-01,1240000
Kirby Tilt 'n' Tumble,Nintendo R&D2,Nintendo,Game Boy Color,2000-08-23,1230000
Game & Watch Gallery 2,Tose,Nintendo,Game Boy Color,1997-09-27,1220000
Game & Watch Gallery 3,Tose,Nintendo,Game Boy Color,1999-04-08,1220000
Solar Striker,Minakuchi Engineering,Nintendo,Game Boy,1990-01-26,1200000
Mario Tennis,Camelot Software Planning,Nintendo,Game Boy Color,2000-11-01,1180000
Qix,Minakuchi Engineering,Nintendo,Game Boy,1990-04-13,1150000
Super R.C. Pro-Am,Rare,Nintendo,Game Boy,1991-06-01,1140000
Donkey Kong Land III,Rare,Nintendo,Game Boy,1997-10-27,1030000
The Bugs Bunny Crazy Castle,Kemco,Kemco,Game Boy,1989-09-05,1000000
The Bugs Bunny Crazy Castle 2,Kemco,Kemco,Game Boy,1991-04-26,1000000
Mickey's Dangerous Chase,Now Production,Capcom,Game Boy,1991-05-15,1000000
The Little Mermaid,Capcom,Capcom,Game Boy,1991-07-19,1000000
Mega Man: Dr. Wily's Revenge,Minakuchi Engineering,Capcom,Game Boy,1991-07-26,1000000
Mega Man II,Japan System House,Capcom,Game Boy,1991-12-20,1000000
Wave Race,Nintendo EAD and Pax Softnica,Nintendo,Game Boy,1992-07-01,1000000
Star Wars,NMS Software,Capcom,Game Boy,1992-11-01,1000000
DuckTales 2,Make Software,Capcom,Game Boy,1993-04-23,1000000
Mickey Mouse: Magic Wands!,Kemco,Kemco,Game Boy,1993-12-22,1000000
Space Invaders,Taito,Nintendo,Game Boy,1994-01-01,1000000
The Smurfs,Bit Managers,Infogrames,Game Boy,1994-01-01,1000000
Street Fighter II,Sun L,Nintendo,Game Boy,1995-08-11,1000000
Game & Watch Gallery,Tose,Nintendo,Game Boy,1997-02-01,1000000
James Bond 007,Saffire,Nintendo,Game Boy,1998-01-29,1000000
